semafororo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento
001,Av. Boa Viagem,Em frente ao parque Dona Lindú , Boa Viagem,-8.142323,-34.903798,E/Git,Ocasional/Ped.
002,Av. Conselheiro Aguiar,Rua Thomé Gibson , Boa Viagem,-8.099068,-34.885883,E/Git,Veicular
003,Av. Boa Viagem,Rua França Pereira, Boa Viagem,-8.106806,-34.887726,E/Git,Ocasional/Ped.
004,Av. Boa Viagem,Rua Barão de Souza Leão , Boa Viagem,-8.132230,-34.899990,E/Git,Ocasional/Ped.
005,Av. Conselheiro Aguiar,Rua Artur Muniz, Boa Viagem,-8.104310,-34.888228,E/Git,Veicular
006,Av. Conselheiro Aguiar,Rua Antônio Falcão, Boa Viagem,-8.116171,-34.894686,E/Git,Veicular
007,Av. Mascarenhas de Morais,Rua Jamaica,Imbiribeira,-8.107620,-34.911720,E/Git,Veicular
008,Av. Caxangá,Rua Bom Pastor,Iputinga,-8.040820,-34.938494,E/Git,Veicular
009,Av.Cruz Cabugá,Est BRT Casa da Misericórdia,Santo Amaro,-8.044224,-34.874595,E/Git,Pedestre
010,II Perimetral,Av. Parnamirim,Parnamirim,-8.034731,-34.908303,E/Git,Veicular
011,Rua Conselheiro Portela,Rua 48,Espinheiro,-8.041458,-34.893810,E/Git,Veicular
012,Rua Barão da Vitória,Rua Floriano Peixoto,Santo Antonio ,-8.067321,-34.882931,E,Veic.C/Ped.Paral.
013,Rua do Sol,Rua Nova,Santo Antonio ,-8.063874,-34.880922,E/Git,Veic.C/Ped.Ocas.
014,Rua do Sol,Av. Guararapes,Santo Antonio ,-8.062706,-34.880416,E/Git,Veic.C/Ped.Paral.
015,Av. Dantas Barreto,Av. Guararapes,Santo Antonio ,-8.063788,-34.878518,E/Git,Veic.C/Ped.Paral.
016,Av. Recife,Rua São Nicolau,Vila do Ipsep,-8.106969,-34.927227,E/Git,Veicular
017,Av. Nossa Senhora do Carmo,Rua Duque de Caxias,Santo Antonio ,-8.066200,-34.877317,E/Git,Pedestre
018,Rua do Imperador,Rua 1º de Março,Santo Antonio ,-8.064191,-34.876823,E/Git,Veicular
019,Av. Rio Branco,Cais do Apolo,Recife Antigo,-8.062391,-34.873830,E/Git,Veicular
020,Av. Marquez de Olinda,Rua Madre de Deus,Recife Antigo,-8.063611,-34.873672,E/Git,Veicular
021,Rua da Hora,Rua 48,Espinheiro,-8.042905,-34.891930,E/Git,Veicular
022,Rua Princesa Isabel,Rua da Aurora,Boa Vista ,-8.059518,-34.879984,E/Git,Veic.C/Ped.Paral.
023,Av. Conde da Boa Vista,Rua do Hospício,Boa Vista ,-8.060773,-34.884050,E/Git,Veic.C/Ped.
024,Av. Conde da Boa Vista,Rua Gervásio Pires,Boa Vista ,-8.059567,-34.886443,E/Git,Veic.C/Ped.
025,Av. Conde da Boa Vista,Rua da Soledade,Boa Vista ,-8.057554,-34.889962,E/Git,Veic.C/Ped.
026,Estrada de Belém,Rua Odorico Mendes,Campo Grande,-8.032111,-34.881324,E,Veic.C/Ped.Ocas.
027,Av. Conde da Boa Vista,Rua Dom Bosco,Boa Vista ,-8.055998,-34.895380,E/Git,Veicular
028,Av. Manoel Borba,Rua Dom Bosco,Paissandu,-8.059392,-34.894050,E/Git,Veicular
029,Av. Manoel Borba,Rua José de Alencar,Boa Vista,-8.060502,-34.888369,E/Git,Veicular
030,Rua 13 de Maio,Rua Dos Palmares,Santo Amaro,-8.052560,-34.883697,E/Git,Veicular
031,Rua do Hospício,Rua Princesa Isabel,Boa Vista,-8.057835,-34.882988,E/Git,Veic.C/Ped.Paral.
032,Rua do Hospício,Av. Visc. De Suassuna,Santo Amaro,-8.055068,-34.882265,E/Git,Veic.C/Ped.
033,Rua do Hospício,Rua da Matriz,Boa Vista,-8.062624,-34.885292,E/Git,Veicular
034,Av. Norte Miguel Arraes de Alencar,Av. Cruz Cabugá,Santo Amaro,-8.047535,-34.876962,E/Git,Veicular
035,Av. Dantas Barreto,Rua Imperial,São José,-8.072249,-34.884146,E/Git,Veicular
036,Av. Norte Miguel Arraes de Alencar,Rua 13 de Maio,Santo Amaro,-8.045910,-34.879089,E/Git,Veicular
037,Av. Gov. Agamenon Magalhães,Av. Rui Barbosa,Derby,-8.052422,-34.895758,E/Git,Veicular
038,Av. Adv. José Paulo Cavalcanti,Ao lado do Fórum Joana Bezerra,ilha Joana Bezerra,-8.069418,-34.895270,E/Git,Veic.C/Laço Det.
039,Rua Motocolombó,Rua Augusto Wanderley,Afogados,-8.082688,-34.906625,E/Git,Veicular
040,Praça do Derby,Rua Jenner de Souza,Derby,-8.057073,-34.900077,E/Git,Veic.C/Ped.
041,Rua do Príncipe,Rua Gervásio Pires,Boa Vista,-8.057352,-34.885062,E/Git,Veicular
042,Av. Beberibe,Estrada de Belém ,Encruzilhada,-8.037235,-34.890996,E/Git,Veic.C/Ped.
043,Av. Norte Miguel Arraes de Alencar,Av. João de Barros,Encruzilhada,-8.038574,-34.892000,E/Git,Veicular
044,Av. Dr. José Rufino,Rua Ipojuca,Areias,-8.091724,-34.936071,E,Veicular
045,Av. Norte Miguel Arraes de Alencar,Rua Fernando Cesar,Encruzilhada,-8.037027,-34.894343,E/Git,Veicular
046,Av. Conselheiro Rosa e Silva,Rua Amélia,Graças,-8.045446,-34.897044,E/Git,Veicular
047,Av. Conselheiro Rosa e Silva,Av. Santos Dumont,Rosarinho,-8.039569,-34.899387,E/Git,Veicular
048,Av. Rui Barbosa,Rua Amélia,Graças,-8.045144,-34.902060,E/Git,Veicular
049,Av. Gov. Agamenon Magalhães,Rua Odorico Mendes,Santo Amaro,-8.039799,-34.878830,E/Git,Veicular
050,Rua José Osório,Rua Visconde de Albuquerque,Madalena,-8.053297,-34.906797,E/Git,Veic.C/Ped.
051,Rua Benfica,Estrada dos Remédios,Madalena,-8.058197,-34.907149,E/Git,Veic.C/Ped.
052,Av. Abdias de Carvalho,Estrada dos Remédios,Madalena,-8.061707,-34.907595,E/Git,Veicular
053,Rua São Miguel,Estrada dos Remédios,Madalena,-8.080230,-34.906628,E/Git,Veic.C/Ped.Ocas.
054,Av. Dantas Barreto,Rua São João,São José,-8.070171,-34.882313,E/Git,Veic.C/Ped.Paral.
055,Av. Recife,Rua Pintor Antônio Albuquerque,Vila do Ipsep,-8.107911,-34.927095,E/Git,Veicular
056,Av. Norte Miguel Arraes de Alencar,Rua Marquez do Paraná,Torreão,-8.039898,-34.887527,E/Git,Veicular
057,Av. Abdias de Carvalho,Rua Carlos Gomes,Madalena,-8.062552,-34.913114,E/Git,Veicular
058,Av. Abdias de Carvalho,Av. Gal. San Martin,Cordeiro,-8.060463,-34.925752,E/Git,Veicular
059,Av. Recife,Rua Cap. Jacínto da Cruz,Vila Cardeal,-8.094007,-34.929048,E/Git,Veicular
060,Rua Dr. Vincente Gomes,Rua Setubal,Boa Viagem,-8.133064,-34.901717,E/Git,Veicular
061,Estrada do Arraial,Rua Cônego Barata,Tamarineira,-8.033199,-34.903538,E/Git,Veicular
062,Av. Norte Miguel Arraes de Alencar,Rua Cônego Barata,Tamarineira,-8.029633,-34.900494,E/Git,Veicular
063,Av. Beberibe,Rua Men de Sá,Ponto de Parada,-8.030124,-34.892476,E/Git,Veicular
064,Av. Beberibe,Rua São Bento,Água Fria,-8.023192,-34.893899,E/Git,Veicular
065,Av. Norte Miguel Arraes de Alencar,Rua Nova Descoberta,Nova Descoberta,-8.019908,-34.926677,E/Git,Veicular
066,Av. Norte Miguel Arraes de Alencar,Rua Padre Lemos,Casa Amarela,-8.020799,-34.921718,E/Git,Veicular
067,Av. Gal. San Martin,Rua Gomes Taborda,Cordeiro,-8.055486,-34.923966,E,Veic.C/Ped.
068,Av. Gov. Agamenon Magalhães,Rua Henrique Dias,Derby,-8.058912,-34.897931,E/Git,Veicular
